Index,Post_Date,Year,Month,City,Post_Type,Post_Details,Likes,Shares,Comments,Post_Link,Page
1,45746.00,2025,3,Beirut,Local News,Water supply disruption in Beirut.,1844,74,1553,https://example.com/post/1,ArabsNews
2,45569.00,2024,10,Beirut,Educational,Workshop on AI held in Beirut.,6661,2130,1329,https://example.com/post/2,ArabsNews
3,45648.00,2024,12,Alexandria,Political,Election updates from Alexandria.,3128,280,4885,https://example.com/post/3,ArabsNews
4,45428.00,2024,5,Dubai,Weather Alert,Storm warning issued in Dubai.,2758,750,3067,https://example.com/post/4,ArabsNews
5,45481.00,2024,7,Riyadh,Educational,Workshop on AI held in Riyadh.,1820,1387,2068,https://example.com/post/5,ArabsNews
6,45624.00,2024,11,Jeddah,Political,New policy reform announced in Jeddah.,1887,2070,3259,https://example.com/post/6,ArabsNews
7,45458.00,2024,6,Riyadh,Political,Election updates from Riyadh.,7700,1770,481,https://example.com/post/7,ArabsNews
8,45324.00,2024,2,Jeddah,Football,Match result: Doha vs Alexandria ended in a loss.,459,1491,4943,https://example.com/post/8,ArabsNews
9,45308.00,2024,1,Baghdad,Educational,Workshop on AI held in Baghdad.,251,38,2260,https://example.com/post/9,ArabsNews
10,45813.00,2025,6,Cairo,Weather Alert,Storm warning issued in Cairo.,8630,1927,4006,https://example.com/post/10,ArabsNews
11,45537.00,2024,9,Jeddah,Religious,Event: Eid celebrations in Jeddah.,3717,2262,579,https://example.com/post/11,ArabsNews
12,45749.00,2025,4,Jeddah,Local News,Market fire reported in Jeddah.,5851,2843,2069,https://example.com/post/12,ArabsNews
13,45625.00,2024,11,Amman,Religious,Prayer times updated for Amman.,8128,2106,1444,https://example.com/post/13,ArabsNews
14,45668.00,2025,1,Amman,Weather Alert,Storm warning issued in Amman.,7393,947,3989,https://example.com/post/14,ArabsNews
15,45591.00,2024,10,Dubai,Local News,Water supply disruption in Dubai.,7405,827,3423,https://example.com/post/15,ArabsNews
16,45577.00,2024,10,Baghdad,Religious,Prayer times updated for Baghdad.,4779,25,1173,https://example.com/post/16,ArabsNews
17,45292.00,2024,1,Doha,Tech,AI tech breakthrough reported.,8968,2517,2795,https://example.com/post/17,ArabsNews
18,45296.00,2024,1,Alexandria,Religious,Prayer times updated for Alexandria.,4198,2307,4345,https://example.com/post/18,ArabsNews
19,45452.00,2024,6,Baghdad,Educational,Results declared for Baghdad exams.,286,305,3108,https://example.com/post/19,ArabsNews
20,45729.00,2025,3,Jeddah,Local News,New traffic rule enforced in Jeddah.,9112,628,2158,https://example.com/post/20,ArabsNews
21,45627.00,2024,12,Doha,Weather Alert,High temperatures expected in Doha.,4529,960,3509,https://example.com/post/21,ArabsNews
22,45527.00,2024,8,Doha,Religious,Prayer times updated for Doha.,8324,2715,1887,https://example.com/post/22,ArabsNews
23,45296.00,2024,1,Amman,Entertainment,Concert announced in Amman.,6854,1389,4082,https://example.com/post/23,ArabsNews
24,45635.00,2024,12,Riyadh,Educational,Workshop on AI held in Riyadh.,3410,2120,1361,https://example.com/post/24,ArabsNews
25,45725.00,2025,3,Dubai,Health,Health awareness campaign in Dubai.,2118,2544,1923,https://example.com/post/25,ArabsNews
26,45767.00,2025,4,Doha,Weather Alert,Storm warning issued in Doha.,2959,2653,3897,https://example.com/post/26,ArabsNews
27,45629.00,2024,12,Jeddah,Religious,Event: Eid celebrations in Jeddah.,1862,2974,1040,https://example.com/post/27,ArabsNews
28,45490.00,2024,7,Cairo,Football,Fan reactions after Cairo win.,6237,2870,2376,https://example.com/post/28,ArabsNews
29,45422.00,2024,5,Baghdad,Health,New hospital opens in Baghdad.,2551,2599,4546,https://example.com/post/29,ArabsNews
30,45305.00,2024,1,Doha,Health,New hospital opens in Doha.,4115,1171,4830,https://example.com/post/30,ArabsNews
31,45727.00,2025,3,Jeddah,Health,New hospital opens in Jeddah.,5360,2641,386,https://example.com/post/31,ArabsNews
32,45643.00,2024,12,Baghdad,Religious,Event: Eid celebrations in Baghdad.,2952,798,4545,https://example.com/post/32,ArabsNews
33,45330.00,2024,2,Beirut,Entertainment,Movie trailer released: 'Beirut'.,3307,353,2385,https://example.com/post/33,ArabsNews
34,45694.00,2025,2,Jeddah,Health,New hospital opens in Jeddah.,1257,93,574,https://example.com/post/34,ArabsNews
35,45672.00,2025,1,Beirut,Weather Alert,Storm warning issued in Beirut.,5853,374,3130,https://example.com/post/35,ArabsNews
36,45436.00,2024,5,Beirut,Religious,Charity campaign launched in Beirut.,4127,69,2121,https://example.com/post/36,ArabsNews
37,45726.00,2025,3,Amman,Tech,Top 5 gadgets of 2025.,3557,1146,3016,https://example.com/post/37,ArabsNews
38,45476.00,2024,7,Beirut,Entertainment,Celebrity spotted in Beirut.,9453,179,577,https://example.com/post/38,ArabsNews
39,45697.00,2025,2,Amman,Tech,AI tech breakthrough reported.,4278,1266,4468,https://example.com/post/39,ArabsNews
40,45621.00,2024,11,Riyadh,Local News,Water supply disruption in Riyadh.,8943,581,1297,https://example.com/post/40,ArabsNews
41,45568.00,2024,10,Cairo,Entertainment,Movie trailer released: 'Cairo'.,2536,801,2058,https://example.com/post/41,ArabsNews
42,45351.00,2024,2,Alexandria,Religious,Charity campaign launched in Alexandria.,3516,2295,2050,https://example.com/post/42,ArabsNews
43,45457.00,2024,6,Jeddah,Political,New policy reform announced in Jeddah.,3015,1249,451,https://example.com/post/43,ArabsNews
44,45760.00,2025,4,Jeddah,Local News,Market fire reported in Jeddah.,9528,2995,229,https://example.com/post/44,ArabsNews
45,45817.00,2025,6,Jeddah,Tech,Launch event for Baghdad held in Alexandria.,8419,919,2473,https://example.com/post/45,ArabsNews
46,45497.00,2024,7,Dubai,Football,Fan reactions after Dubai win.,412,710,880,https://example.com/post/46,ArabsNews
47,45649.00,2024,12,Dubai,Local News,New traffic rule enforced in Dubai.,5129,2751,4813,https://example.com/post/47,ArabsNews
48,45537.00,2024,9,Alexandria,Football,Top 5 goals of the week in Alexandria league.,7070,2392,719,https://example.com/post/48,ArabsNews
49,45648.00,2024,12,Baghdad,Health,Health awareness campaign in Baghdad.,6144,657,3503,https://example.com/post/49,ArabsNews
50,45721.00,2025,3,Beirut,Health,New hospital opens in Beirut.,6210,1304,4129,https://example.com/post/50,ArabsNews
51,45529.00,2024,8,Beirut,Football,Top 5 goals of the week in Beirut league.,3061,1765,4159,https://example.com/post/51,ArabsNews
52,45420.00,2024,5,Baghdad,Local News,Market fire reported in Baghdad.,9161,400,3535,https://example.com/post/52,ArabsNews
53,45303.00,2024,1,Beirut,Political,Election updates from Beirut.,7036,23,2118,https://example.com/post/53,ArabsNews
54,45771.00,2025,4,Doha,Religious,Charity campaign launched in Doha.,7451,1691,414,https://example.com/post/54,ArabsNews
55,45769.00,2025,4,Cairo,Entertainment,Celebrity spotted in Cairo.,6435,762,3669,https://example.com/post/55,ArabsNews
56,45348.00,2024,2,Dubai,Weather Alert,Storm warning issued in Dubai.,7455,138,78,https://example.com/post/56,ArabsNews
57,45654.00,2024,12,Jeddah,Political,New policy reform announced in Jeddah.,4522,216,51,https://example.com/post/57,ArabsNews
58,45322.00,2024,1,Baghdad,Football,Fan reactions after Baghdad win.,5283,1674,1333,https://example.com/post/58,ArabsNews
59,45502.00,2024,7,Dubai,Religious,Event: Eid celebrations in Dubai.,1395,1843,3830,https://example.com/post/59,ArabsNews
60,45680.00,2025,1,Alexandria,Entertainment,Concert announced in Alexandria.,8905,1574,2911,https://example.com/post/60,ArabsNews
61,45351.00,2024,2,Jeddah,Political,Government decision sparks debate in Jeddah.,8725,782,2938,https://example.com/post/61,ArabsNews
62,45631.00,2024,12,Riyadh,Local News,Water supply disruption in Riyadh.,2602,176,1783,https://example.com/post/62,ArabsNews
63,45712.00,2025,2,Dubai,Educational,Scholarship applications open for Dubai students.,9932,476,1928,https://example.com/post/63,ArabsNews
64,45488.00,2024,7,Baghdad,Tech,Launch event for Cairo held in Riyadh.,897,2591,3659,https://example.com/post/64,ArabsNews
65,45609.00,2024,11,Baghdad,Health,Health awareness campaign in Baghdad.,1083,2305,1602,https://example.com/post/65,ArabsNews
66,45555.00,2024,9,Baghdad,Religious,Event: Eid celebrations in Baghdad.,5627,2272,3813,https://example.com/post/66,ArabsNews
67,45312.00,2024,1,Beirut,Political,Election updates from Beirut.,457,1399,4915,https://example.com/post/67,ArabsNews
68,45597.00,2024,11,Dubai,Educational,Workshop on AI held in Dubai.,2158,1610,328,https://example.com/post/68,ArabsNews
69,45603.00,2024,11,Cairo,Weather Alert,Rainfall forecast updated.,4104,1098,4518,https://example.com/post/69,ArabsNews
70,45817.00,2025,6,Beirut,Entertainment,Movie trailer released: 'Beirut'.,6153,1463,483,https://example.com/post/70,ArabsNews
71,45370.00,2024,3,Amman,Entertainment,Concert announced in Amman.,1568,289,2824,https://example.com/post/71,ArabsNews
72,45661.00,2025,1,Baghdad,Educational,Workshop on AI held in Baghdad.,1098,2808,4455,https://example.com/post/72,ArabsNews
73,45292.00,2024,1,Beirut,Religious,Charity campaign launched in Beirut.,6565,1448,3170,https://example.com/post/73,ArabsNews
74,45578.00,2024,10,Beirut,Educational,Scholarship applications open for Beirut students.,7277,215,3957,https://example.com/post/74,ArabsNews
75,45700.00,2025,2,Cairo,Local News,New traffic rule enforced in Cairo.,2821,754,212,https://example.com/post/75,ArabsNews
76,45627.00,2024,12,Dubai,Football,Match result: Jeddah vs Riyadh ended in a draw.,9356,1345,1892,https://example.com/post/76,ArabsNews
77,45559.00,2024,9,Amman,Local News,New traffic rule enforced in Amman.,1673,528,4486,https://example.com/post/77,ArabsNews
78,45741.00,2025,3,Alexandria,Entertainment,Concert announced in Alexandria.,2037,677,3352,https://example.com/post/78,ArabsNews
79,45763.00,2025,4,Riyadh,Entertainment,Concert announced in Riyadh.,8810,359,1360,https://example.com/post/79,ArabsNews
80,45604.00,2024,11,Baghdad,Weather Alert,High temperatures expected in Baghdad.,1450,1769,1257,https://example.com/post/80,ArabsNews
81,45467.00,2024,6,Jeddah,Weather Alert,High temperatures expected in Jeddah.,6491,2717,1224,https://example.com/post/81,ArabsNews
82,45603.00,2024,11,Alexandria,Weather Alert,Rainfall forecast updated.,7923,2796,3136,https://example.com/post/82,ArabsNews
83,45341.00,2024,2,Amman,Political,Election updates from Amman.,3641,2278,4013,https://example.com/post/83,ArabsNews
84,45584.00,2024,10,Baghdad,Educational,Scholarship applications open for Baghdad students.,6524,72,3905,https://example.com/post/84,ArabsNews
85,45568.00,2024,10,Beirut,Local News,New traffic rule enforced in Beirut.,4350,106,4824,https://example.com/post/85,ArabsNews
86,45548.00,2024,9,Alexandria,Tech,Launch event for Baghdad held in Riyadh.,8445,204,3523,https://example.com/post/86,ArabsNews
87,45560.00,2024,9,Riyadh,Local News,New traffic rule enforced in Riyadh.,4161,685,3750,https://example.com/post/87,ArabsNews
88,45305.00,2024,1,Amman,Football,Fan reactions after Amman win.,496,2149,216,https://example.com/post/88,ArabsNews
89,45299.00,2024,1,Doha,Political,Election updates from Doha.,2843,1774,3310,https://example.com/post/89,ArabsNews
90,45478.00,2024,7,Doha,Educational,Scholarship applications open for Doha students.,2650,2642,4027,https://example.com/post/90,ArabsNews
91,45346.00,2024,2,Doha,Weather Alert,Rainfall forecast updated.,883,1555,2333,https://example.com/post/91,ArabsNews
92,45671.00,2025,1,Dubai,Weather Alert,Storm warning issued in Dubai.,6739,1381,105,https://example.com/post/92,ArabsNews
93,45821.00,2025,6,Doha,Religious,Prayer times updated for Doha.,4122,233,3805,https://example.com/post/93,ArabsNews
94,45561.00,2024,9,Alexandria,Weather Alert,Storm warning issued in Alexandria.,5357,2143,4314,https://example.com/post/94,ArabsNews
95,45404.00,2024,4,Amman,Political,Election updates from Amman.,5013,2653,4678,https://example.com/post/95,ArabsNews
96,45380.00,2024,3,Riyadh,Entertainment,Movie trailer released: 'Riyadh'.,8722,557,1587,https://example.com/post/96,ArabsNews
97,45347.00,2024,2,Beirut,Religious,Event: Eid celebrations in Beirut.,9499,2160,3967,https://example.com/post/97,ArabsNews
98,45827.00,2025,6,Dubai,Educational,Results declared for Dubai exams.,268,1693,2600,https://example.com/post/98,ArabsNews
99,45702.00,2025,2,Riyadh,Health,Vaccination drive starts in Riyadh.,1382,2955,3862,https://example.com/post/99,ArabsNews
100,45831.00,2025,6,Cairo,Educational,Scholarship applications open for Cairo students.,3703,1783,2926,https://example.com/post/100,ArabsNews
101,45573.00,2024,10,Cairo,Football,Match result: Beirut vs Dubai ended in a win.,8899,1277,1291,https://example.com/post/101,ArabsNews
102,45736.00,2025,3,Amman,Political,Election updates from Amman.,9797,1664,4332,https://example.com/post/102,ArabsNews
103,45761.00,2025,4,Doha,Football,Match result: Doha vs Cairo ended in a win.,5652,2616,459,https://example.com/post/103,ArabsNews
104,45355.00,2024,3,Baghdad,Weather Alert,Rainfall forecast updated.,9158,897,2701,https://example.com/post/104,ArabsNews
105,45397.00,2024,4,Dubai,Football,Fan reactions after Dubai win.,3409,2961,1755,https://example.com/post/105,ArabsNews
106,45471.00,2024,6,Alexandria,Health,Health awareness campaign in Alexandria.,912,2560,2916,https://example.com/post/106,ArabsNews
107,45393.00,2024,4,Alexandria,Health,Health awareness campaign in Alexandria.,3177,651,3566,https://example.com/post/107,ArabsNews
108,45832.00,2025,6,Cairo,Health,Vaccination drive starts in Cairo.,3879,2632,2363,https://example.com/post/108,ArabsNews
109,45464.00,2024,6,Doha,Weather Alert,High temperatures expected in Doha.,8372,1936,2949,https://example.com/post/109,ArabsNews
110,45644.00,2024,12,Amman,Local News,New traffic rule enforced in Amman.,910,2487,2035,https://example.com/post/110,ArabsNews
111,45693.00,2025,2,Doha,Tech,Top 5 gadgets of 2025.,6059,1247,1607,https://example.com/post/111,ArabsNews
112,45737.00,2025,3,Riyadh,Political,Election updates from Riyadh.,4869,1183,3662,https://example.com/post/112,ArabsNews
113,45523.00,2024,8,Beirut,Local News,New traffic rule enforced in Beirut.,9240,2518,3826,https://example.com/post/113,ArabsNews
114,45614.00,2024,11,Amman,Football,Fan reactions after Amman win.,1397,2886,4464,https://example.com/post/114,ArabsNews
115,45355.00,2024,3,Amman,Local News,New traffic rule enforced in Amman.,4553,2898,4202,https://example.com/post/115,ArabsNews
116,45297.00,2024,1,Alexandria,Health,New hospital opens in Alexandria.,2358,1475,902,https://example.com/post/116,ArabsNews
117,45508.00,2024,8,Riyadh,Local News,Market fire reported in Riyadh.,9981,2216,2068,https://example.com/post/117,ArabsNews
118,45402.00,2024,4,Beirut,Religious,Event: Eid celebrations in Beirut.,4283,678,2282,https://example.com/post/118,ArabsNews
119,45702.00,2025,2,Alexandria,Entertainment,Movie trailer released: 'Alexandria'.,909,345,1026,https://example.com/post/119,ArabsNews
120,45610.00,2024,11,Alexandria,Entertainment,Celebrity spotted in Alexandria.,7900,2357,3899,https://example.com/post/120,ArabsNews
121,45448.00,2024,6,Riyadh,Tech,Launch event for Jeddah held in Amman.,633,622,3138,https://example.com/post/121,ArabsNews
122,45397.00,2024,4,Riyadh,Religious,Event: Eid celebrations in Riyadh.,8863,1013,3713,https://example.com/post/122,ArabsNews
123,45341.00,2024,2,Cairo,Local News,Market fire reported in Cairo.,5168,669,4202,https://example.com/post/123,ArabsNews
124,45677.00,2025,1,Beirut,Tech,AI tech breakthrough reported.,1885,1845,4103,https://example.com/post/124,ArabsNews
125,45790.00,2025,5,Beirut,Tech,Top 5 gadgets of 2025.,6665,2947,3815,https://example.com/post/125,ArabsNews
126,45432.00,2024,5,Dubai,Religious,Prayer times updated for Dubai.,5002,1369,4120,https://example.com/post/126,ArabsNews
127,45755.00,2025,4,Riyadh,Entertainment,Concert announced in Riyadh.,8570,1729,458,https://example.com/post/127,ArabsNews
128,45339.00,2024,2,Alexandria,Tech,Launch event for Jeddah held in Doha.,3143,227,4776,https://example.com/post/128,ArabsNews
129,45820.00,2025,6,Baghdad,Entertainment,Concert announced in Baghdad.,7643,849,2145,https://example.com/post/129,ArabsNews
130,45401.00,2024,4,Doha,Health,New hospital opens in Doha.,239,871,1694,https://example.com/post/130,ArabsNews
131,45639.00,2024,12,Amman,Educational,Scholarship applications open for Amman students.,2745,2774,950,https://example.com/post/131,ArabsNews
132,45702.00,2025,2,Baghdad,Health,New hospital opens in Baghdad.,9459,1013,3518,https://example.com/post/132,ArabsNews
133,45461.00,2024,6,Amman,Entertainment,Celebrity spotted in Amman.,6212,2417,1083,https://example.com/post/133,ArabsNews
134,45547.00,2024,9,Alexandria,Tech,AI tech breakthrough reported.,8764,611,1693,https://example.com/post/134,ArabsNews
135,45303.00,2024,1,Baghdad,Political,Government decision sparks debate in Baghdad.,527,1763,1854,https://example.com/post/135,ArabsNews
136,45532.00,2024,8,Beirut,Entertainment,Celebrity spotted in Beirut.,9800,2834,4758,https://example.com/post/136,ArabsNews
137,45718.00,2025,3,Jeddah,Weather Alert,High temperatures expected in Jeddah.,4017,2906,1924,https://example.com/post/137,ArabsNews
138,45820.00,2025,6,Riyadh,Political,Election updates from Riyadh.,,2630,4047,https://example.com/post/138,ArabsNews
139,45374.00,2024,3,Doha,Football,Match result: Doha vs Riyadh ended in a loss.,4213,2696,3499,https://example.com/post/139,ArabsNews
140,45452.00,2024,6,Amman,Political,New policy reform announced in Amman.,876,2900,1327,https://example.com/post/140,ArabsNews
141,45542.00,2024,9,Doha,Local News,Market fire reported in Doha.,2283,497,2135,https://example.com/post/141,ArabsNews
142,45371.00,2024,3,Amman,Religious,Prayer times updated for Amman.,6896,185,4549,https://example.com/post/142,ArabsNews
143,45568.00,2024,10,Riyadh,Religious,Prayer times updated for Riyadh.,4029,1748,2851,https://example.com/post/143,ArabsNews
144,45805.00,2025,5,Baghdad,Football,Match result: Riyadh vs Doha ended in a loss.,6087,130,4156,https://example.com/post/144,ArabsNews
145,45395.00,2024,4,Jeddah,Health,Vaccination drive starts in Jeddah.,4128,2759,1448,https://example.com/post/145,ArabsNews
146,45376.00,2024,3,Beirut,Football,Top 5 goals of the week in Beirut league.,9192,2098,3185,https://example.com/post/146,ArabsNews
147,45673.00,2025,1,Cairo,Local News,Water supply disruption in Cairo.,4107,1990,3707,https://example.com/post/147,ArabsNews
148,45597.00,2024,11,Jeddah,Religious,Prayer times updated for Jeddah.,3811,2076,1227,https://example.com/post/148,ArabsNews
149,45508.00,2024,8,Baghdad,Political,Government decision sparks debate in Baghdad.,8227,2987,1297,https://example.com/post/149,ArabsNews
150,45361.00,2024,3,Dubai,Football,Top 5 goals of the week in Dubai league.,2656,2617,2086,https://example.com/post/150,ArabsNews
